weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_id
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99535
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99550
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99554
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,99584
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.5, 9 MM,10.0,True,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,True,CEMENT WALL,05-10FT,UNKNOWN,STANDING,99611
SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.48, 9 MM,4.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,False,NONE,0-5FT,PERSON,STANDING,99612
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99614
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99624
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,99625
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,99665
